2026-03-15 18:02:50: [2026-03-15T18:02:50.574Z] INFO  ?? TTrades Fractal Model Bot started
2026-03-15 18:13:59: [2026-03-15T18:13:59.872Z] INFO  No setup for EURUSD yet.
2026-03-15 18:14:00: [2026-03-15T18:14:00.172Z] INFO  Analyzing GBPUSD...
2026-03-15 18:14:01: [2026-03-15T18:14:01.039Z] INFO  No setup for GBPUSD yet.
2026-03-15 18:14:01: [2026-03-15T18:14:01.340Z] INFO  Analyzing USDJPY...
2026-03-15 18:14:02: [2026-03-15T18:14:02.199Z] INFO  No setup for USDJPY yet.
2026-03-15 18:14:02: [2026-03-15T18:14:02.498Z] INFO  Analyzing USDCHF...
2026-03-15 18:14:03: [2026-03-15T18:14:03.349Z] INFO  No setup for USDCHF yet.
2026-03-15 18:14:03: [2026-03-15T18:14:03.649Z] INFO  Analyzing USDCAD...
2026-03-15 18:14:04: [2026-03-15T18:14:04.497Z] INFO  No setup for USDCAD yet.
2026-03-15 18:14:04: [2026-03-15T18:14:04.797Z] INFO  Analyzing AUDUSD...
2026-03-15 18:14:05: [2026-03-15T18:14:05.657Z] INFO  Signal found for AUDUSD: SHORT
2026-03-15 18:14:05: [2026-03-15T18:14:05.799Z] INFO  Telegram message sent
2026-03-15 18:14:06: [2026-03-15T18:14:06.100Z] INFO  Analyzing NZDUSD...
2026-03-15 18:14:06: [2026-03-15T18:14:06.948Z] INFO  No setup for NZDUSD yet.
2026-03-15 18:14:07: [2026-03-15T18:14:07.249Z] INFO  Analyzing EURGBP...
2026-03-15 18:14:08: [2026-03-15T18:14:08.094Z] INFO  No setup for EURGBP yet.
2026-03-15 18:14:08: [2026-03-15T18:14:08.395Z] INFO  Analyzing EURJPY...
2026-03-15 18:14:09: [2026-03-15T18:14:09.243Z] INFO  No setup for EURJPY yet.
2026-03-15 18:14:09: [2026-03-15T18:14:09.544Z] INFO  Analyzing EURCHF...
2026-03-15 18:14:10: [2026-03-15T18:14:10.396Z] INFO  No setup for EURCHF yet.
2026-03-15 18:14:10: [2026-03-15T18:14:10.696Z] INFO  Analyzing EURAUD...
2026-03-15 18:14:11: [2026-03-15T18:14:11.540Z] INFO  Signal found for EURAUD: LONG
2026-03-15 18:14:11: [2026-03-15T18:14:11.694Z] INFO  Telegram message sent
2026-03-15 18:14:11: [2026-03-15T18:14:11.994Z] INFO  Analyzing EURCAD...
2026-03-15 18:14:12: [2026-03-15T18:14:12.849Z] INFO  No setup for EURCAD yet.
2026-03-15 18:14:13: [2026-03-15T18:14:13.150Z] INFO  Analyzing GBPNZD...
2026-03-15 18:14:14: [2026-03-15T18:14:14.007Z] INFO  No setup for GBPNZD yet.
2026-03-15 18:14:14: [2026-03-15T18:14:14.308Z] INFO  Analyzing GBPJPY...
2026-03-15 18:14:15: [2026-03-15T18:14:15.164Z] INFO  No setup for GBPJPY yet.
2026-03-15 18:14:15: [2026-03-15T18:14:15.465Z] INFO  Analyzing AUDJPY...
2026-03-15 18:14:16: [2026-03-15T18:14:16.338Z] INFO  Signal found for AUDJPY: SHORT
2026-03-15 18:14:16: [2026-03-15T18:14:16.423Z] INFO  Telegram message sent
2026-03-15 18:14:16: [2026-03-15T18:14:16.723Z] INFO  Analyzing CHFJPY...
2026-03-15 18:14:17: [2026-03-15T18:14:17.568Z] INFO  No setup for CHFJPY yet.
2026-03-15 18:14:17: [2026-03-15T18:14:17.869Z] INFO  Analyzing GBPCHF...
2026-03-15 18:14:18: [2026-03-15T18:14:18.718Z] INFO  No setup for GBPCHF yet.
2026-03-15 18:14:19: [2026-03-15T18:14:19.020Z] INFO  Analyzing AUDNZD...
2026-03-15 18:14:19: [2026-03-15T18:14:19.864Z] INFO  No setup for AUDNZD yet.
2026-03-15 18:14:20: [2026-03-15T18:14:20.164Z] INFO  Analyzing AUDCAD...
2026-03-15 18:14:21: [2026-03-15T18:14:21.018Z] INFO  Signal found for AUDCAD: SHORT
2026-03-15 18:14:21: [2026-03-15T18:14:21.128Z] INFO  Telegram message sent
2026-03-15 18:14:21: [2026-03-15T18:14:21.428Z] INFO  Analyzing CADJPY...
2026-03-15 18:14:22: [2026-03-15T18:14:22.270Z] INFO  No setup for CADJPY yet.
2026-03-15 18:14:22: [2026-03-15T18:14:22.571Z] INFO  Analyzing GBPCAD...
2026-03-15 18:14:23: [2026-03-15T18:14:23.415Z] INFO  No setup for GBPCAD yet.
2026-03-15 18:14:23: [2026-03-15T18:14:23.716Z] INFO  Analyzing GBPAUD...
2026-03-15 18:14:24: [2026-03-15T18:14:24.563Z] INFO  Signal found for GBPAUD: LONG
2026-03-15 18:14:24: [2026-03-15T18:14:24.636Z] INFO  Telegram message sent
2026-03-15 18:15:00: [2026-03-15T18:15:00.662Z] INFO  Starting TTrades Fractal Model scan...
2026-03-15 18:15:00: [2026-03-15T18:15:00.943Z] INFO  Capital.com session created
2026-03-15 18:15:00: [2026-03-15T18:15:00.943Z] INFO  Analyzing EURUSD...
2026-03-15 18:15:01: [2026-03-15T18:15:01.788Z] INFO  No setup for EURUSD yet.
2026-03-15 18:15:02: [2026-03-15T18:15:02.088Z] INFO  Analyzing GBPUSD...
2026-03-15 18:15:02: [2026-03-15T18:15:02.938Z] INFO  No setup for GBPUSD yet.
